disease_name,search_name,description,symptoms,symptoms_count,image_url,local_image_path
influenza,Influenza,"Influenza, commonly known as the flu, is an infectious disease caused by influenza viruses. Symptoms range from mild to severe and often include fever, runny nose, sore throat, muscle pain, headache, coughing, and fatigue. These symptoms begin one to four days after exposure to the virus and last for about two to eight days. Diarrhea and vomiting can occur, particularly in children. Influenza may progress to pneumonia from the virus or a subsequent bacterial infection. Other complications includ",Fever | runny nose | sore throat | muscle pain | headache | coughing | fatigue,7,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/EM_of_influenza_virus.jpg/330px-EM_of_influenza_virus.jpg,data/images\Influenza.jpg
common cold,Common cold,"The common cold, or simply a cold, is a viral infectious disease of the upper respiratory tract that primarily affects the respiratory mucosa of the nose, throat, sinuses, and larynx. Signs and symptoms may appear in as little as two days after exposure to the virus. These may include coughing, sore throat, runny nose, sneezing, headache, fatigue, and fever. People usually recover in seven to ten days, but some symptoms may last up to three weeks. Occasionally, those with other health problems m",Cough | sore throat | runny nose | fever | muscle aches | fatigue | headache | anorexia | [ | 3 | ] | [ | 4 | ],14,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Rhinovirus_isosurface.png/330px-Rhinovirus_isosurface.png,data/images\Common_cold.jpg
pneumonia,Pneumonia,"Pneumonia is an inflammatory condition of the lung primarily affecting the small air sacs known as alveoli. Symptoms typically include some combination of productive or dry cough, chest pain, fever, and difficulty breathing. The severity of the condition is variable.",Cough | shortness of breath | chest pain | fever | [ | 1 | ],7,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Chest_radiograph_in_influensa_and_H_influenzae%2C_posteroanterior%2C_annotated.jpg/330px-Chest_radiograph_in_influensa_and_H_influenzae%2C_posteroanterior%2C_annotated.jpg,data/images/pneumonia.jpg
tuberculosis,Tuberculosis,"Tuberculosis (TB), also known colloquially as the ""white death"", or historically as consumption, is a contagious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but it can also affect other parts of the body. Most infections show no symptoms, in which case it is known as inactive or latent tuberculosis. A small proportion of latent infections progress to active disease that, if left untreated, can be fatal. Typical symptoms of active",Chronic cough | fever | cough with bloody mucus | weight loss. Latent TB infection is | asymptomatic | [ | 1 | ],8,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Tuberculosis-x-ray-1.jpg/330px-Tuberculosis-x-ray-1.jpg,data/images\Tuberculosis.jpg
diabetes,Diabetes mellitus,"Diabetes mellitus, commonly known as diabetes, is a group of common endocrine diseases characterized by sustained high blood sugar levels. Diabetes tends to progress in severity, and is due to either a reduced production of the hormone insulin by the pancreas or unresponsiveness of bodily cells to insulin's effects. Classic symptoms include the three Ps: polydipsia, polyuria, and polyphagia, together with weight loss and blurred vision. If left untreated, the disease can lead to many health comp",Frequent urination | Increased thirst | Increased hunger,3,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Blue_circle_for_diabetes.svg/330px-Blue_circle_for_diabetes.svg.png,data/images\Diabetes.jpg
hypertension,Hypertension,"Hypertension, also known as high blood pressure, is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure usually does not cause symptoms itself. It is, however, a major risk factor for stroke, coronary artery disease, heart failure, atrial fibrillation, peripheral arterial disease, vision loss, chronic kidney disease, and dementia. Hypertension is a major cause of premature death worldwide.",None | [ | 1 | ],4,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Grade_1_hypertension.jpg/330px-Grade_1_hypertension.jpg,data/images\Hypertension.jpg
asthma,Asthma,"Asthma is a common long-term inflammatory disease of the airways. It is characterized by variable and recurring symptoms and reduced lung function. Symptoms include episodes of wheezing, coughing, chest tightness, and shortness of breath. A sudden worsening of asthma symptoms sometimes called an 'asthma attack' or an 'asthma exacerbation' can occur when allergens, pollen, dust, or other particles, are inhaled into the lungs, causing the bronchioles to constrict and produce mucus, which then rest",Recurring episodes of | wheezing | coughing | chest tightness | shortness of breath,5,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Asthma_%28Lungs%29.png/330px-Asthma_%28Lungs%29.png,data/images\Asthma.jpg
migraine,Migraine,"Migraine is a neurological disorder that causes moderate-to-severe headaches. The pain usually affects one side of the head. It is generally associated with nausea, light sensitivity and sound sensitivity. Other symptoms may include dizziness, vomiting, and difficulty thinking. In some cases, a migraine attack begins with an aura, a period of sensory disturbance.",Headaches | coupled with sensory disturbances such as | nausea | sensitivity to light | sound | and | smell,7,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Migraine.jpg/330px-Migraine.jpg,data/images\Migraine.jpg
appendicitis,Appendicitis,"Appendicitis is inflammation of the appendix. Symptoms commonly include right lower abdominal pain, nausea, vomiting, fever and decreased appetite. However, approximately 40% of people do not have these typical symptoms. Severe complications of a ruptured appendix include widespread, painful inflammation of the inner lining of the abdominal wall and sepsis.",Periumbilical or right lower | abdominal pain | vomiting | nausea | decreased appetite | [ | 2 | ] | high fever,9,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/En.Wikipedia-VideoWiki-Appendicitis.webm/330px--En.Wikipedia-VideoWiki-Appendicitis.webm.jpg,data/images\Appendicitis.jpg
typhoid fever,Typhoid fever,"Typhoid fever, also known as typhoid, is an orally contracted disease caused by Salmonella enterica serotype Typhi bacteria, also called Salmonella Typhi. Symptoms vary from mild to severe, and usually begin six to 30 days after exposure. Often there is a gradual onset of a high fever over several days. This is commonly accompanied by weakness, abdominal pain, constipation, headaches, and mild vomiting. Some people develop a skin rash with rose colored spots. In severe cases, people may experien",fever that starts low and increases daily | headache | weakness and fatigue | muscle aches | sweating | dry cough | loss of appetite | weight loss | stomach pain | diarrhea or constipation | rash | swollen stomach (enlarged liver or spleen),12,,
cholera,Cholera,"Cholera is an infection of the small intestine by some strains of the bacterium Vibrio cholerae. Symptoms may range from none, to mild, to severe. The classic symptom is large amounts of watery diarrhea lasting a few days. Vomiting and muscle cramps may also occur. Diarrhea can be so severe that it leads within hours to severe dehydration and electrolyte imbalance. This can in turn result in sunken eyes, cold or cyanotic skin, decreased skin elasticity, wrinkling of the hands and feet, and, in s",large amounts of watery | diarrhea | vomiting | muscle cramps | [ | 2 | ] | [ | 3 | ],10,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Adult_cholera_patient.jpg/330px-Adult_cholera_patient.jpg,data/images\Cholera.jpg
